Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,4.7u,C19666
"C10, C11, C8",0402,3,100n,C1525
"C12, C9",0402,2,1u,C52923
C13,0603,1,1u,C15849
"C14, C15, C2, C6",0603,4,10u,C19702
"C3, C5",0603,2,100n,C14663
C7,0402,1,10u,C15525
D1,D_SOD-323,1,1N5819WS,C191023
"D2, D3",UDFN-9_L3.9-W1.1-P0.80-BL,2,RCLAMP3328P.TZT,C3040834
"D4, D5, D6, D7",SOD-523_L1.2-W0.8-LS1.6-RD,4,"PESD5V0V1BB,115",C477993
"R1, R2, R3",0603,3,10k,C25804
"R10, R7, R8, R9",0603,4,56K,C23206
R4,0402,1,5K1,C25905
"R5, R6",0402,2,10k,C25744
SIM1,SIM-SMD_8P-1040310811,1,1040310811,C585350
U1,SSOP-16_L4.9-W3.9-P0.64-LS6.0-BL,1,GL823K-HCY04,C284879
U2,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1S,C2684433
"USB1, USB3, USB4",USB-C-SMD_TYPE-C-16PIN-2MD-073,3,TYPE-C 16PIN 2MD,C2765186
USB2,USB-A-TH_10.0QHHTZB6.3,1,10.0 QHHTZB6.3,C668591